Quadrilateral Vertex: [ x y z ] , Closest Triangle Face Vertices: [ x y z ]
[-17.2652 -34.0445 788.831 ] , [ -16.736 -33.334599 788.627991 ] [ -18.123301 -34.1693 788.132019 ] [ -17.0996 -34.409698 789.89502 ]
[-19.8011 -38.3756 788.426 ] , [ -19.393 -38.643002 788.992004 ] [ -20.437401 -37.222401 787.455017 ] [ -20.2766 -38.498299 788.083008 ]
[-14.2647 -31.0882 788.574 ] , [ -14.2235 -31.7302 789.255981 ] [ -13.9744 -31.368401 788.474976 ] [ -16.041401 -32.672001 787.880981 ]
[-14.8453 -32.5496 790.795 ] , [ -14.5602 -32.268799 790.314026 ] [ -15.8495 -32.7603 789.491028 ] [ -14.8087 -32.949402 790.974976 ]
[-14.0794 -23.0647 787.896 ] , [ -14.2833 -23.569 787.908997 ] [ -12.845 -22.694201 788.822998 ] [ -15.463 -22.2288 787.776001 ]
[-12.4133 -26.3714 788.36  ] , [ -12.7645 -27.0777 787.908997 ] [ -12.1433 -26.020201 788.598999 ] [ -13.7011 -25.528799 788.057983 ]
[ 23.8738 -23.8937 787.129 ] , [ 23.412901 -23.924999 789.025024 ] [ 24.1306 -23.5002 786.502014 ] [ 23.3456 -23.629999 787.099976 ]
[ 20.1507 -24.721  788.526 ] , [ 18.752899 -23.962299 788.080017 ] [ 19.676399 -23.556101 787.945984 ] [ 19.451401 -24.160999 787.190002 ]
[-15.688  -19.5461 787.351 ] , [ -16.0781 -20.2173 787.580017 ] [ -14.5926 -19.208599 788.218018 ] [ -16.638 -19.559 787.093018 ]
[-13.1575 -14.6238 787.133 ] , [ -13.7271 -14.2293 786.804993 ] [ -13.6037 -15.7906 787.35498 ] [ -12.6058 -14.2789 787.728027 ]
[  6.00893  -4.93741 787.373  ] , [ 5.5662 -3.44541 786.382996 ] [ 3.66459 -3.78528 787.052002 ] [ 6.1863 -5.53581 787.544983 ]
[-19.3857 -35.5952 786.589 ] , [ -20.130501 -35.310501 786.192993 ] [ -19.6668 -35.163101 787.268982 ] [ -19.511999 -34.798302 786.814026 ]
[ 31.3174 -27.2131 786.275 ] , [ 32.439201 -26.4042 785.588989 ] [ 31.8312 -26.2829 786.781982 ] [ 32.330799 -26.607901 786.499023 ]
